Codigo;Producto;P. Venta;P. Mayoreo;Departamento;Existencia;Tipo de Venta;Proveedor
3735;Broca Metal 2,0mm;700;0;- Sin Departamento -;26;UNIDAD;
3742;Broca Metal 2,5 mm;800;0;- Sin Departamento -;53;UNIDAD;
3759;Broca Metal 3,0 mm;1000;0;- Sin Departamento -;1;UNIDAD;
3766;Broca Metal 3,5 mm;1100;0;- Sin Departamento -;55;UNIDAD;Trentini
3773;Broca Metal 4,0 mm;1200;0;- Sin Departamento -;26;UNIDAD;
3780;Broca Metal 4,5 mm;1300;0;- Sin Departamento -;21;UNIDAD;
3797;Broca Metal 5,0 mm;1400;0;- Sin Departamento -;27;UNIDAD;Trentini
3803;Broca Metal 5,5 mm;1500;0;- Sin Departamento -;95;UNIDAD;
3810;Broca Metal 6,0 mm;1800;0;- Sin Departamento -;18;UNIDAD;
3827;Broca Metal 7,0 mm;2450;0;- Sin Departamento -;20;UNIDAD;
3834;Broca Metal 7,5 mm;3000;0;- Sin Departamento -;29;UNIDAD;
3841;Broca Metal 8,0mm;3150;0;- Sin Departamento -;18;UNIDAD;
3856018017731;Amarra Plastica 4.8x300mm Valprik;2050;0;- Sin Departamento -;6;UNIDAD;valprik
3858;Broca Pino 14mm-20mm Crowman;8650;0;- Sin Departamento -;12;UNIDAD;ferre center
3858852627732;Juego De Golilla Ante;1000;0;- Sin Departamento -;13;UNIDAD;ante
3865;Broca Pino 4mm-12mm Crowman;6000;0;- Sin Departamento -;8;UNIDAD;mag chile
39800011398;Pila Energizer D2;4600;0;- Sin Departamento -;20;UNIDAD;surti venta
39961015877;Valvula Llenado Regulable En Altura 7/8;11900;0;- Sin Departamento -;0;UNIDAD;importadora y distribuidora tress s.a
39961024282;Valvula De Descarga Dual Universal Con Cable WC 2 Pzs;24700;0;- Sin Departamento -;3;UNIDAD;importadora y distribuidora tress s.a
39961300027;Valvula Estanque WC Hilo De 7/8;11900;0;- Sin Departamento -;21;UNIDAD;importadora y distribuidora tress s.a
39961344007;Valvula Esta WC Hilo De 7/8 Altura Regulada;11900;0;- Sin Departamento -;0;UNIDAD;importadora y distribuidora tress s.a
40044;Manguera Jardin 1/2 Bicolor Hoffens;800;0;- Sin Departamento -;375;UNIDAD;hoffens
4004625390863;Tijera PPR Hidraulicos;38000;0;- Sin Departamento -;0;UNIDAD;
